content,rating
dope,0
damn ok,0
i *never* skip lectures,0
i mean noooo please dont cheat and skip class,0
"Mandatory attendence is stupid, but skipping is just as foolish.",0
"Right click the channels, mute them, and then just hit this bad boy from the dropdown",0
crazy timing tho,0
should? for sure. fail otherwise? stupid as hell,0
you *should* go to class,0
Ah fuck idk how to do it idc,0
i dont gonna break your trust😮‍💨,0
Damn at that point I’ll probably throw it out,0
you got issues with french people?,0
what's wrong with these top profs?,0
just go wham more time and you'll be hooked,0
not soon enough bro not soon enough,0
His slides are nigh worthless,0
You gotta show up and take notes,0
the smp is kinda dead,0
Bro was bullshiting the whole class like wtf,0
sorry creeper,0
wtf???,0
that sounds like hell,0
nevermind u need dripstone its gonna take too long,0
gotta thug it out,0
i got a mob farm,0
you wanna help kill the ender dragon,0
mobs,0
you like pork?,0
you want bonemeal,0
i thikn pork chop is all i need,0
it's a place i kill withers in,0
you wanna see the slime farm,0
slime,0
damn,0
https://tenor.com/view/marmot-stupid-marmot-gif-18279475216139709294,0
i went too high..,0
now time to go to slime farm,0
there is a fortress underneath you that has iron golems that attract wither skeletons,0
the rates are insane,0
Hell yeah,0
Hell yeah,0
Man GeForce experience is so broken I have to pull this shit out,0
didnt really see him be mean to anyone,0
is bro still mad,0
damn,0
holy hell how old is that,0
if it ain't broke don't fix it,0
it ain't,0
why would you be homeless?,0
Go to class you silly goose,0
I want a totalitarian educational state,0
shit has changed over the last 5 years,0
I swear my high school would never have done that.,0
I'm a terrible student.,0
you only say that cause youd pass,0
You guys are wild,0
Ain’t no way this is what they actually do,0
You're smarter than that,0
dog shit company,0
i feel like there are worse places to work than an established company that happens to charge a shit ton of fees on robux,0
They got full on black markets where kids can gamble away real money,0
damn bro i just wanted to make some money,0
"Mostly dell laptops, I believe they might have been some of the newer latitude ones but I might be a complete fucking idiot lol",0
yea don’t do chromebook lol,0
wtf is happening,0
i also don’t see a reason to cheap out on ur main laptop that you’ll use ur whole degree when tuition is so expensive,0
Ur not getting that return offer,0
FUCK,0
balls?,0
Aint seeing shit,0
holy shit,0
just throw in the towel and come back bro,0
Nooooo not another teacher like thattttt,0
thats so yass queen of him,0
make it free then add in app purchases or some shit later on,0
Damn we got a tanzim as a first name and last name in this server before gta 6,0
I’m already a loser as is bro,0
Ain't no way he just said 30 is a big class.,0
oof,0
Oh damn he was young too?,0
"That’s the worst. When like 16yos ruin their endocrine system for life by making that decision way too early,",0
Flat is a dick measuring competition,0
why is it a dick measuring competition?,0
"Only scenario you should take steroids is if you’ve been lifting for many years, hit your natty max, and sincerely decide your life is bodybuilding and you need to take it to the next level",0
Like no one should take anything,0
I hate the idea of taking testosrone injections.,0
Why would you use cheats in game it ruins the fun,0
it's basically just cheats,0
"Get used to MCQs and yoh will start hating them 

— Me (6 years of MCQs Experience)",0
Most people blame that shit on genetics,0
Negative passive incomes are the hot trend,0
queens without auto-place x's is CRAZY,0
it's not good code,0
not without getting scarred by lab 11,0
i lost my queens grind😢been slacking lately,0
just say you hate women omg,0
I don't hate women,0
oh yeah? name every woman,0
now muhammad definitely loves women,0
bro doesn't trust me,0
"please tanzim, or i’ll die",0
Damn I have two POLS,0
But do the women love him,0
the game last sunday was so sick,0
Oof,0
what getting rejected from roblox does to a mf,0
youre going crazy man,0
it aint even just shorts,0
have u read *any* yt comments section,0
yeah that fiasco lol,0
IDK shit about trains but transport nerds on top fr,0
microsoft will never make a good game again,0
why can't they just lay off phil,0
I don't like Ubuntu.,0
You’re not coding when ur Linux crashes everyday,0
and my linux does not crash every day,0
damn,0
Cheap ahh textbook,0
Yeah no his writing just sucks nowhere would yoi be able to read ta,0
it's been too long,0
Dawg how did any of u understand tsin during his lecture,0
No bro 😭,0
Dawg come to a single tsin lec and decide if u wanna deal with his acvent,0
||questionable ass organization sending letters to everyone rn||,0
